Seccion,ID,Rol,Pregunta,Tipo,Opciones,Obligatoria
PRESENTACION,P00,TODOS,"AVISO DE PRIVACIDAD Y USO ACADEMICO: La información que proporciones en este formulario será utilizada exclusivamente con fines académicos como parte de un proyecto escolar de investigación de mercado. No se compartirá con terceros, no se usará con fines comerciales y tu identidad permanecerá completamente anónima. Al continuar con el formulario, aceptas que tus respuestas sean analizadas de forma estadística para fines de investigación. ¡Gracias por tu tiempo y apoyo!",Descripcion_texto,,No
DEMOGRAFICOS,D01,TODOS,"¿Cuál es tu nombre? (opcional)",Texto_abierto,,No
DEMOGRAFICOS,D02,TODOS,"¿Cuál es tu edad?",Seleccion_unica,"Menor de 18 años | 18 - 24 años | 25 - 34 años | 35 - 44 años | 45 - 54 años | 55 años o más",Sí
DEMOGRAFICOS,D03,TODOS,"¿Con qué género te identificas?",Seleccion_unica,"Masculino | Femenino | No binario / Otro | Prefiero no decirlo",Sí
DEMOGRAFICOS,D04,TODOS,"¿En qué ciudad o municipio se encuentra tu gimnasio?",Texto_abierto,,Sí
DEMOGRAFICOS,D05,TODOS,"¿Cuál es tu ocupación principal fuera del gimnasio?",Seleccion_unica,"Estudiante | Empleado / Trabajador | Emprendedor / Dueño de negocio | Profesionista independiente | Ama/o de casa | Otro",Sí
DEMOGRAFICOS,D06,TODOS,"¿Cuánto tiempo llevas asistiendo o trabajando en este gimnasio?",Seleccion_unica,"Menos de 3 meses | 3 a 6 meses | 6 meses a 1 año | 1 a 3 años | Más de 3 años",Sí
DEMOGRAFICOS,D07,TODOS,"¿Con qué frecuencia usas aplicaciones móviles en tu día a día?",Seleccion_unica,"Constantemente (varias veces al día) | Frecuentemente (1 vez al día) | Ocasionalmente (algunas veces a la semana) | Rara vez | Casi nunca",Sí
DATOS_GENERALES,G01,TODOS,"¿Cuál es tu rol dentro del gimnasio?",Seleccion_unica,"Dueño o administrador del gimnasio | Entrenador | Recepcionista | Miembro / Cliente",Sí
DATOS_GENERALES,G02,TODOS,"¿Con qué frecuencia asistes o trabajas en el gimnasio?",Seleccion_unica,"Todos los días | 4-5 veces por semana | 2-3 veces por semana | 1 vez por semana | Menos de una vez por semana",Sí
DATOS_GENERALES,G03,TODOS,"¿Tu gimnasio actualmente usa algún sistema digital para su administración?",Seleccion_unica,"Sí, un software especializado | Sí, hojas de Excel o similares | No, todo es manual | No sé",Sí
DATOS_GENERALES,G04,TODOS,"¿Qué tan abierto estás a que tu gimnasio adopte una aplicación digital para gestionar sus operaciones?",Escala_1_5,"1 = Nada abierto | 2 = Poco abierto | 3 = Neutral | 4 = Bastante abierto | 5 = Muy abierto",Sí
SECCION_OWNER,O01,owner_gym,"[SECCIÓN: DUEÑO / ADMINISTRADOR DEL GIMNASIO] ¿Te gustaría poder ver en tiempo real el número de miembros activos, ingresos del mes y membresías próximas a vencer desde una sola pantalla?",Escala_1_5,"1 = No me interesa | 2 | 3 = Me es indiferente | 4 | 5 = Me interesa mucho",Sí
SECCION_OWNER,O02,owner_gym,"¿Qué tan útil te parecería recibir alertas automáticas cuando una membresía esté próxima a vencer, para contactar al cliente antes de que se vaya?",Escala_1_5,"1 = No útil | 2 | 3 = Algo útil | 4 | 5 = Muy útil",Sí
SECCION_OWNER,O03,owner_gym,"¿Te gustaría poder registrar nuevos miembros, asignar planes y cobrar todo desde un sistema integrado, sin usar papeles ni hojas de cálculo?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Me sería indiferente | 4 | 5 = Lo necesito mucho",Sí
SECCION_OWNER,O04,owner_gym,"¿Qué tan valioso sería para ti contar con reportes mensuales de ingresos desglosados por tipo de membresía (mensual, trimestral, anual)?",Escala_1_5,"1 = Sin valor | 2 | 3 = Algo valioso | 4 | 5 = Muy valioso",Sí
SECCION_OWNER,O05,owner_gym,"¿Te gustaría poder aceptar pagos en línea con tarjeta de crédito/débito directamente desde la plataforma, sin necesidad de una terminal externa?",Seleccion_unica,"Sí, lo usaría de inmediato | Sí, pero dependería de las comisiones | Me es indiferente | No, prefiero efectivo/terminal física",Sí
SECCION_OWNER,O06,owner_gym,"¿Considerarías útil contar con un punto de venta (POS) integrado para registrar ventas de suplementos, clases especiales u otros servicios?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Podría ser útil | 4 | 5 = Lo necesito mucho",Sí
SECCION_OWNER,O07,owner_gym,"¿Qué tan interesante te resulta la idea de tener un análisis automático que identifique qué miembros están en riesgo de cancelar su membresía, para poder retenerlos?",Escala_1_5,"1 = No me interesa | 2 | 3 = Me parece interesante | 4 | 5 = Es exactamente lo que necesito",Sí
SECCION_OWNER,O08,owner_gym,"¿Te gustaría contar con proyecciones de ingresos para los próximos meses basadas en el historial de pagos de tu gimnasio?",Escala_1_5,"1 = No me interesa | 2 | 3 = Puede ser útil | 4 | 5 = Muy interesante para planear",Sí
SECCION_OWNER,O09,owner_gym,"¿Qué tan importante sería para ti que el sistema hiciera respaldos automáticos de toda la información de tu gimnasio (miembros, pagos, historial)?",Escala_1_5,"1 = Sin importancia | 2 | 3 = Importante | 4 | 5 = Sumamente importante",Sí
SECCION_OWNER,O10,owner_gym,"¿Cuánto tiempo semanal estimas que actualmente inviertes en tareas administrativas manuales (registros, cobros, listas, reportes)?",Seleccion_unica,"Menos de 2 horas | 2 a 5 horas | 5 a 10 horas | Más de 10 horas | No lo sé",Sí
SECCION_OWNER,O11,owner_gym,"Si una aplicación te ahorrara ese tiempo administrativo, ¿estarías dispuesto a pagar una suscripción mensual por ella?",Seleccion_unica,"Sí, si el precio es justo | Depende del costo vs. beneficio | Probablemente no | No",Sí
SECCION_OWNER,O12,owner_gym,"¿Qué funcionalidad consideras más urgente para gestionar tu gimnasio? (elige la más importante)",Seleccion_unica,"Control de membresías y vencimientos | Reportes de ingresos | Cobro en línea | Análisis de retención de clientes | Respaldo de datos",Sí
SECCION_OWNER,O13,owner_gym,"¿Hay alguna otra funcionalidad que te gustaría que tuviera una aplicación de gestión para tu gimnasio?",Texto_abierto,,No
SECCION_ENTRENADOR,E01,Entrenador,"[SECCIÓN: ENTRENADOR] ¿Te gustaría contar con una herramienta digital para diseñar y asignar rutinas de entrenamiento personalizadas a cada uno de tus clientes?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Podría ser útil | 4 | 5 = Lo necesito mucho",Sí
SECCION_ENTRENADOR,E02,Entrenador,"¿Qué tan útil te parecería poder ver desde la app el historial de progreso corporal de tus clientes (peso, medidas, IMC) para ajustar sus planes?",Escala_1_5,"1 = No útil | 2 | 3 = Algo útil | 4 | 5 = Muy útil",Sí
SECCION_ENTRENADOR,E03,Entrenador,"¿Te gustaría tener una agenda digital integrada donde puedas agendar, ver y gestionar todas tus sesiones con clientes?",Escala_1_5,"1 = Prefiero hacerlo manual | 2 | 3 = Me es indiferente | 4 | 5 = Sería muy útil",Sí
SECCION_ENTRENADOR,E04,Entrenador,"¿Considerarías valioso que la app te enviara recordatorios automáticos de tus sesiones programadas y te avisara si un cliente las cancela?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Puede servir | 4 | 5 = Muy valioso",Sí
SECCION_ENTRENADOR,E05,Entrenador,"¿Te gustaría que el sistema generara reportes de progreso de tus clientes (asistencia, cumplimiento de rutinas, evolución física) de forma automática?",Escala_1_5,"1 = No me interesa | 2 | 3 = Me parece útil | 4 | 5 = Lo usaría constantemente",Sí
SECCION_ENTRENADOR,E06,Entrenador,"¿Qué tan interesante te resulta que el sistema sugiera rutinas automáticamente basadas en el perfil, objetivo y nivel de condición de cada cliente?",Escala_1_5,"1 = No me interesa | 2 | 3 = Interesante | 4 | 5 = Muy interesante",Sí
SECCION_ENTRENADOR,E07,Entrenador,"¿Te gustaría poder exportar informes de progreso de tus clientes en PDF para compartirlos con ellos o con el administrador del gimnasio?",Seleccion_unica,"Sí, lo usaría siempre | Sí, ocasionalmente | Probablemente no | No",Sí
SECCION_ENTRENADOR,E08,Entrenador,"Actualmente, ¿cómo llevas el seguimiento de tus clientes?",Seleccion_unica,"Aplicación específica de entrenamiento | Hoja de Excel o cuaderno | De memoria | No hago seguimiento formal",Sí
SECCION_ENTRENADOR,E09,Entrenador,"¿Qué tan probable es que uses una app de este tipo si tu gimnasio la implementara?",Escala_1_5,"1 = No la usaría | 2 | 3 = Tal vez | 4 | 5 = La usaría sin duda",Sí
SECCION_ENTRENADOR,E10,Entrenador,"¿Qué funcionalidad sería más valiosa para ti como entrenador? (elige la más importante)",Seleccion_unica,"Asignación de rutinas personalizadas | Seguimiento del progreso corporal | Agenda y sesiones | Reportes automáticos | Sugerencias por IA",Sí
SECCION_ENTRENADOR,E11,Entrenador,"¿Hay alguna herramienta que te gustaría que tuviera la app para facilitarte el trabajo como entrenador?",Texto_abierto,,No
SECCION_RECEPCIONISTA,R01,Recepcionista,"[SECCIÓN: RECEPCIONISTA] ¿Te gustaría poder verificar al instante si un miembro tiene su membresía activa o vencida con solo buscar su nombre en una app?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Puede ser útil | 4 | 5 = Lo necesito mucho",Sí
SECCION_RECEPCIONISTA,R02,Recepcionista,"¿Qué tan útil te parecería poder registrar el pago de una membresía directamente desde la recepción, sin usar hojas de cálculo ni papeles?",Escala_1_5,"1 = No útil | 2 | 3 = Algo útil | 4 | 5 = Muy útil",Sí
SECCION_RECEPCIONISTA,R03,Recepcionista,"¿Te gustaría contar con un sistema de punto de venta integrado para cobrar membresías, clases o productos desde la recepción?",Escala_1_5,"1 = No lo necesito | 2 | 3 = Me sería indiferente | 4 | 5 = Sería muy práctico",Sí
SECCION_RECEPCIONISTA,R04,Recepcionista,"¿Qué tan valioso sería para ti tener un listado diario de miembros con membresías próximas a vencer, para avisarles cuando lleguen?",Escala_1_5,"1 = Sin valor | 2 | 3 = Algo valioso | 4 | 5 = Muy valioso",Sí
